商品A,商品B,共现发票数,A发票数,B发票数,总发票数,支持度,置信度_A到B,置信度_B到A,提升度,商品A名,商品B名
22458,22459,147,173,172,38663,0.0038,0.8497,0.8547,191.0,CAST IRON HOOK GARDEN FORK,CAST IRON HOOK GARDEN TROWEL
35809A,35810A,130,177,171,38663,0.0034,0.7345,0.7602,166.07,ENAMEL PINK TEA CONTAINER,ENAMEL PINK COFFEE CONTAINER
23289,23291,152,191,195,38663,0.0039,0.7958,0.7795,157.78,DOLLY GIRL CHILDRENS BOWL,DOLLY GIRL CHILDRENS CUP
23345,23346,124,174,184,38663,0.0032,0.7126,0.6739,149.74, DOLLY GIRL BEAKER,SPACEBOY BEAKER
21788,21789,171,206,218,38663,0.0044,0.8301,0.7844,147.22,KIDS RAIN MAC BLUE,KIDS RAIN MAC PINK
23212,23213,107,186,152,38663,0.0028,0.5753,0.7039,146.33,PAINTED HEART WREATH WITH BELL,STAR WREATH DECORATION WITH BE
22516,22517,92,162,152,38663,0.0024,0.5679,0.6053,144.45,CHILDS GARDEN RAKE BLUE,CHILDS GARDEN RAKE PINK
22918,22921,204,249,220,38663,0.0053,0.8193,0.9273,143.98,HERB MARKER PARSLEY,HERB MARKER CHIVES 
22916,22917,232,249,252,38663,0.006,0.9317,0.9206,142.95,HERB MARKER THYME,HERB MARKER ROSEMARY
23210,23211,113,192,160,38663,0.0029,0.5885,0.7062,142.21,WHITE ROCKING HORSE HAND PAINT,RED ROCKING HORSE HAND PAINTED
22916,22921,200,249,220,38663,0.0052,0.8032,0.9091,141.16,HERB MARKER THYME,HERB MARKER CHIVES 
23029,23031,88,156,155,38663,0.0023,0.5641,0.5677,140.71,DRAWER KNOB CRACKLE GLAZE GREE,DRAWER KNOB CRACKLE GLAZE PINK
20866,20867,106,191,153,38663,0.0027,0.555,0.6928,140.25,BLUE ROSE FABRIC MIRROR,PINK ROSE FABRIC MIRROR
22916,22918,224,249,249,38663,0.0058,0.8996,0.8996,139.68,HERB MARKER THYME,HERB MARKER PARSLEY
22919,22921,197,248,220,38663,0.0051,0.7944,0.8955,139.61,HERB MARKER MINT,HERB MARKER CHIVES 
23285,23286,153,191,222,38663,0.004,0.801,0.6892,139.5,PINK VINTAGE SPOT BEAKER,BLUE VINTAGE SPOT BEAKER
85186A,85186C,87,159,152,38663,0.0023,0.5472,0.5724,139.19,EASTER BUNNY GARLAND OF FLOWER,BUNNY EGG GARLAND
22917,22921,199,252,220,38663,0.0051,0.7897,0.9045,138.78,HERB MARKER ROSEMARY,HERB MARKER CHIVES 
22917,22918,225,252,249,38663,0.0058,0.8929,0.9036,138.64,HERB MARKER ROSEMARY,HERB MARKER PARSLEY
22682,22685,104,182,160,38663,0.0027,0.5714,0.65,138.08,"FRENCH BLUE METAL DOOR SIGN, 7","FRENCH BLUE METAL DOOR SIGN, 0"
23285,23288,126,191,185,38663,0.0033,0.6597,0.6811,137.87,PINK VINTAGE SPOT BEAKER,GREEN VINTAGE SPOT BEAKER
22918,22919,219,249,248,38663,0.0057,0.8795,0.8831,137.11,HERB MARKER PARSLEY,HERB MARKER MINT
22918,22920,222,249,252,38663,0.0057,0.8916,0.881,136.79,HERB MARKER PARSLEY,HERB MARKER BASIL
22917,22919,220,252,248,38663,0.0057,0.873,0.8871,136.1,HERB MARKER ROSEMARY,HERB MARKER MINT
22917,22920,223,252,252,38663,0.0058,0.8849,0.8849,135.77,HERB MARKER ROSEMARY,HERB MARKER BASIL
22684,22685,91,162,160,38663,0.0024,0.5617,0.5688,135.73,"FRENCH BLUE METAL DOOR SIGN, 9","FRENCH BLUE METAL DOOR SIGN, 0"
22916,22920,220,249,252,38663,0.0057,0.8835,0.873,135.55,HERB MARKER THYME,HERB MARKER BASIL
23287,23288,128,198,185,38663,0.0033,0.6465,0.6919,135.11,RED VINTAGE SPOT BEAKER,GREEN VINTAGE SPOT BEAKER
22683,22685,106,190,160,38663,0.0027,0.5579,0.6625,134.81,"FRENCH BLUE METAL DOOR SIGN, 8","FRENCH BLUE METAL DOOR SIGN, 0"
35095A,35095B,102,166,177,38663,0.0026,0.6145,0.5763,134.23,BLUE VICTORIAN FABRIC OVAL BOX,RED VICTORIAN FABRIC OVAL BOX
22916,22919,214,249,248,38663,0.0055,0.8594,0.8629,133.98,HERB MARKER THYME,HERB MARKER MINT
22920,22921,192,252,220,38663,0.005,0.7619,0.8727,133.9,HERB MARKER BASIL,HERB MARKER CHIVES 
23289,23290,141,191,214,38663,0.0036,0.7382,0.6589,133.37,DOLLY GIRL CHILDRENS BOWL,SPACEBOY CHILDRENS BOWL
22919,22920,215,248,252,38663,0.0056,0.8669,0.8532,133.0,HERB MARKER MINT,HERB MARKER BASIL
23290,23292,161,214,222,38663,0.0042,0.7523,0.7252,131.02,SPACEBOY CHILDRENS BOWL,SPACEBOY CHILDRENS CUP
22515,22517,106,208,152,38663,0.0027,0.5096,0.6974,129.62,CHILDS GARDEN SPADE PINK,CHILDS GARDEN RAKE PINK
23286,23287,147,222,198,38663,0.0038,0.6622,0.7424,129.31,BLUE VINTAGE SPOT BEAKER,RED VINTAGE SPOT BEAKER
22681,22685,101,189,160,38663,0.0026,0.5344,0.6312,129.13,"FRENCH BLUE METAL DOOR SIGN, 6","FRENCH BLUE METAL DOOR SIGN, 0"
22279,22280,112,214,158,38663,0.0029,0.5234,0.7089,128.08,POCKET BAG BLUE PAISLEY RED SP,POCKET BAG PINK PAISELY BROWN 
22682,22684,97,182,162,38663,0.0025,0.533,0.5988,127.21,"FRENCH BLUE METAL DOOR SIGN, 7","FRENCH BLUE METAL DOOR SIGN, 9"
23286,23288,135,222,185,38663,0.0035,0.6081,0.7297,127.09,BLUE VINTAGE SPOT BEAKER,GREEN VINTAGE SPOT BEAKER
22683,22684,101,190,162,38663,0.0026,0.5316,0.6235,126.87,"FRENCH BLUE METAL DOOR SIGN, 8","FRENCH BLUE METAL DOOR SIGN, 9"
22682,22683,112,182,190,38663,0.0029,0.6154,0.5895,125.23,"FRENCH BLUE METAL DOOR SIGN, 7","FRENCH BLUE METAL DOOR SIGN, 8"
23291,23292,140,195,222,38663,0.0036,0.7179,0.6306,125.03,DOLLY GIRL CHILDRENS CUP,SPACEBOY CHILDRENS CUP
23285,23287,121,191,198,38663,0.0031,0.6335,0.6111,123.7,PINK VINTAGE SPOT BEAKER,RED VINTAGE SPOT BEAKER
22201,22204,89,166,169,38663,0.0023,0.5361,0.5266,122.65,FRYING PAN BLUE RETROSPOT,MILK PAN BLUE RETROSPOT
21084,21090,194,223,278,38663,0.005,0.87,0.6978,121.0,SET/6 COLLAGE PAPER CUPS,SET/6 COLLAGE PAPER PLATES
22681,22684,95,189,162,38663,0.0025,0.5026,0.5864,119.95,"FRENCH BLUE METAL DOOR SIGN, 6","FRENCH BLUE METAL DOOR SIGN, 9"
